id,name,owner,address,phone,raw_category_name,home_page,independent,linkedIn,facebook,twitter,load_time,scrape_time
6208, ABB Inc.,Original load omitted, 305 Gregson Dr Cary NC 27511, (919) 856-2360, Electrical-Equipment-SuppliesManufact,http://www.abb.com/us,NULL, https://web.raleighchamber.org/external/wcpages/referral.aspx?URL=http%3a%2f%2fwww.linkedin.com%2fcompany%2fABB&ReferralType=SNLI&ProfileID=1227,NULL,,2020-10-21 20:25:42,0000-00-00 00:00:00
7796, Abbotswood at Stonehenge,Original load omitted, 7900 Creedmoor Rd Raleigh NC 27613  4382, (919) 847-3202, Retirement-Communities-Homes,http://www.LifeatAbbotswood.com,NULL, Linkedin link not found,NULL,,2020-10-21 20:25:49,0000-00-00 00:00:00
7811, ABC ROOFS,Original load omitted, 101 Kentucky Derby Drive Clayton NC 27520, (919) 353-7377, RoofingResidential-Commercial,http://www.abcroofs.com,NULL, https://web.raleighchamber.org/external/wcpages/referral.aspx?URL=https%3a%2f%2fwww.linkedin.com%2fcompany%2fabcroofs&ReferralType=SNLI&ProfileID=236757,NULL,,2020-10-21 20:25:49,0000-00-00 00:00:00
7958, ABC-11 Eyewitness News (WTVD),Original load omitted, 411 Liberty St. Durham NC 27701, (919) 683-1111, Television-Stations-Broadcasting-Companies,https://abc11.com/,NULL, https://web.raleighchamber.org/external/wcpages/referral.aspx?URL=http%3a%2f%2fwww.linkedin.com%2fcompany%2fabc11-eyewitness-news---wtvd&ReferralType=SNLI&ProfileID=522,NULL,,2020-10-21 20:25:50,0000-00-00 00:00:00
5567, Abrams and Abrams Law Firm,Original load omitted, 1550 Glenwood Avenue Raleigh NC 27608, (919) 755-9166, Attorneys,http://www.abramslawfirm.com,NULL, Linkedin link not found,NULL,,2020-10-21 20:25:39,0000-00-00 00:00:00
6274, Absolute Home Health,Original load omitted, 1631 Midtown Pl Suite 104-111 Raleigh NC 27609, (919) 827-0719, EmploymentMedical,http://www.absolutehealthnc.com/,NULL, Linkedin link not found,NULL,,2020-10-21 20:25:42,0000-00-00 00:00:00
6691, AC Hotel Raleigh North Hills,Original load omitted, 101 Park at North Hills Street Raleigh NC 27609, (919) 571-2500, Hotels-Motels,http://www.marriott.com/hotels/travel/rduar-ac-hotel-raleigh-north-hills/,NULL, Linkedin link not found,NULL,,2020-10-21 20:25:44,0000-00-00 00:00:00
7986, Academy Bus,Original load omitted, 2020 South Briggs Ave Durham NC 27703, (919) 688-1230, Transportation,http://www.academybus.com,NULL, Linkedin link not found,NULL,,2020-10-21 20:25:50,0000-00-00 00:00:00
7130, Academy Mortgage – Raleigh-Triangle,Original load omitted, 7901 Strickland Road Raleigh NC 27615 Suite 104, (919) 827-0506, Mortgage-Companies,http://academymortgage.com/raleightriangle,NULL, Linkedin link not found,NULL,,2020-10-21 20:25:47,0000-00-00 00:00:00
6133, Accent Imaging  Inc.,Original load omitted, 8121 Brownleigh Drive Raleigh NC 27613, (919) 782-3332, Digital-Printing,http://www.accentimaging.com,NULL, https://web.raleighchamber.org/external/wcpages/referral.aspx?URL=https%3a%2f%2fwww.linkedin.com%2fcompany%2faccent-imaging&ReferralType=SNLI&ProfileID=28302,NULL,,2020-10-21 20:25:41,0000-00-00 00:00:00
6237, Accentuate Staffing,Original load omitted, 3200 Fairhill Dr Raleigh NC 27612 Ste 100, (919) 844-2900, Employment-Agencies,http://www.accentuatestaffing.com,NULL, https://web.raleighchamber.org/external/wcpages/referral.aspx?URL=https%3a%2f%2fwww.linkedin.com%2fcompany%2faccentuate-staffing%2f&ReferralType=SNLI&ProfileID=3658,NULL,,2020-10-21 20:25:42,0000-00-00 00:00:00
6248, Accounting Principals  Inc.,Original load omitted, 5400 Trinity Rd. Raleigh NC 27607 Suite  204, (919) 828-3940, Employment-Agencies-Financial,http://www.accountingprincipals.com,NULL, https://web.raleighchamber.org/external/wcpages/referral.aspx?URL=https%3a%2f%2fwww.linkedin.com%2fcompany%2faccounting-principals&ReferralType=SNLI&ProfileID=3146,NULL,,2020-10-21 20:25:42,0000-00-00 00:00:00
6238, Accuro,Original load omitted, 2301 Sugar Bush Rd. Raleigh NC 27612 Suite 425, (919) 851-9880, Employment-Agencies,http://www.accurogroup.com,NULL, Linkedin link not found,NULL,,2020-10-21 20:25:42,0000-00-00 00:00:00
6877, ACF Insurance Services  Inc.,Original load omitted, 4634 Capital Blvd Raleigh NC 27604, (919) 878-7786, InsuranceAgents,https://www.acfinsurance.com/,NULL, https://web.raleighchamber.org/external/wcpages/referral.aspx?URL=https%3a%2f%2fwww.linkedin.com%2fcompany-beta%2f2092539%2f%3fpathWildcard%3d2092539&ReferralType=SNLI&ProfileID=217885,NULL,,2020-10-21 20:25:45,0000-00-00 00:00:00
5375, The North Carolina Association of Certified Public Accountants,Original load omitted, 3100 Gateway Centre Drive Morrisville NC 27560, 919.469.1040, AccountantsCertified-Public,Site url not found,NULL, Linkedin link not found,NULL,,2020-10-21 20:25:38,0000-00-00 00:00:00
5880, Activate Good,Original load omitted, 1053 E Whitaker Mill Rd. Raleigh NC 27604 Suite 115, (919) 535-6550, Community-Outreach,http://www.activategood.org,NULL, https://web.raleighchamber.org/external/wcpages/referral.aspx?URL=http%3a%2f%2fwww.linkedin.com%2fgroups%2fActivate-Good-1828687%3fhome%3d%26gid%3d1828687%26trk%3danet_ug_hm&ReferralType=SNLI&ProfileID=182755,NULL,,2020-10-21 20:25:40,0000-00-00 00:00:00
7781, Adam & Eve,Original load omitted, 8629 Glenwood Ave. Raleigh NC 27617 Suite 203, (919) 571-7209, Retail,http://www.adameverdu.com,NULL, Linkedin link not found,NULL,,2020-10-21 20:25:49,0000-00-00 00:00:00
